v4geneID	Chromosome	Start	Stop	v4geneID.1	X..	v5chromosome	v5start	v5stop	v5geneID	v5geneID.1	v5..	v5length
Zm00001d001784	chr2	1120885	1123042	Zm00001d001784	+	chr2	1121070	1123042	Zm00001eb065740	Zm00001eb065740	+	1972
Zm00001d001819	chr2	1711833	1715299	Zm00001d001819	-	chr2	1711833	1715299	Zm00001eb066050	Zm00001eb066050	-	3466
Zm00001d001829	chr2	1835128	1835529	Zm00001d001829	-	chr2	1835128	1835529	Zm00001eb066160	Zm00001eb066160	-	401
Zm00001d001839	chr2	1961191	1961958	Zm00001d001839	-	.	-1	-1	.	-1	.	0
Zm00001d001849	chr2	2187187	2188992	Zm00001d001849	+	chr2	2187187	2188992	Zm00001eb066390	Zm00001eb066390	+	1805
Zm00001d001862	chr2	2334124	2335020	Zm00001d001862	+	chr2	2334124	2335020	Zm00001eb066540	Zm00001eb066540	+	896
Zm00001d001865	chr2	2356158	2356267	Zm00001d001865	-	chr2	2356158	2356628	Zm00001eb066570	Zm00001eb066570	-	109
Zm00001d001871	chr2	2403105	2404659	Zm00001d001871	+	chr2	2403105	2405308	Zm00001eb066620	Zm00001eb066620	+	1554
Zm00001d001902	chr2	2912033	2914912	Zm00001d001902	+	chr2	2912033	2914912	Zm00001eb066850	Zm00001eb066850	+	2879
Zm00001d001915	chr2	3075766	3076405	Zm00001d001915	-	chr2	3075804	3076405	Zm00001eb066960	Zm00001eb066960	-	601
Zm00001d001924	chr2	3285878	3287450	Zm00001d001924	+	chr2	3285965	3287450	Zm00001eb067040	Zm00001eb067040	+	1485
Zm00001d001936	chr2	3377400	3379519	Zm00001d001936	+	chr2	3377400	3379519	Zm00001eb067190	Zm00001eb067190	+	2119
Zm00001d001941	chr2	3463952	3467203	Zm00001d001941	+	chr2	3463717	3467203	Zm00001eb067230	Zm00001eb067230	+	3251
Zm00001d001948	chr2	3679427	3680635	Zm00001d001948	+	chr2	3679427	3680635	Zm00001eb067310	Zm00001eb067310	+	1208
Zm00001d001984	chr2	4215006	4217296	Zm00001d001984	-	chr2	4215006	4217077	Zm00001eb067590	Zm00001eb067590	-	2071
Zm00001d001989	chr2	4268406	4269016	Zm00001d001989	-	chr2	4268406	4269016	Zm00001eb067620	Zm00001eb067620	-	610
Zm00001d001990	chr2	4323078	4323329	Zm00001d001990	+	chr2	4323078	4323329	Zm00001eb067630	Zm00001eb067630	+	251
Zm00001d002000	chr2	4413124	4416545	Zm00001d002000	+	chr2	4413124	4416545	Zm00001eb067710	Zm00001eb067710	+	3421
Zm00001d002001	chr2	4419473	4419819	Zm00001d002001	-	.	-1	-1	.	-1	.	0
Zm00001d002005	chr2	4493647	4496920	Zm00001d002005	-	chr2	4493647	4496920	Zm00001eb067740	Zm00001eb067740	-	3273
Zm00001d002021	chr2	4801695	4801939	Zm00001d002021	+	chr2	4801695	4802189	Zm00001eb067910	Zm00001eb067910	+	244
Zm00001d002035	chr2	5083974	5086424	Zm00001d002035	-	chr2	5084062	5086424	Zm00001eb068120	Zm00001eb068120	-	2362
Zm00001d002094	chr2	6135127	6135663	Zm00001d002094	+	chr2	6135052	6135663	Zm00001eb068660	Zm00001eb068660	+	536
Zm00001d002096	chr2	6210284	6210901	Zm00001d002096	-	chr2	6210284	6210901	Zm00001eb068680	Zm00001eb068680	-	617
Zm00001d002131	chr2	6691871	6692605	Zm00001d002131	-	.	-1	-1	.	-1	.	0
Zm00001d002137	chr2	6771624	6772164	Zm00001d002137	+	chr2	6771624	6772485	Zm00001eb069090	Zm00001eb069090	+	540
Zm00001d002143	chr2	6900788	6905163	Zm00001d002143	+	chr2	6900788	6905163	Zm00001eb069140	Zm00001eb069140	+	4375
Zm00001d002158	chr2	7149859	7150125	Zm00001d002158	+	chr2	7149859	7150125	Zm00001eb069310	Zm00001eb069310	+	266
