v4geneID	Chromosome	Start	Stop	v4geneID.1	X..	v5chromosome	v5start	v5stop	v5geneID	v5geneID.1	v5..	v5length
Zm00001d001770	chr2	416306	420563	Zm00001d001770	-	.	-1	-1	.	-1	.	0
Zm00001d001771	chr2	763793	765207	Zm00001d001771	+	chr2	763732	765587	Zm00001eb065630	Zm00001eb065630	+	1414
Zm00001d001774	chr2	771748	772586	Zm00001d001774	-	chr2	771681	772748	Zm00001eb065660	Zm00001eb065660	-	838
Zm00001d001781	chr2	1031266	1033311	Zm00001d001781	-	chr2	1031266	1033311	Zm00001eb065730	Zm00001eb065730	-	2045
Zm00001d001791	chr2	1314464	1316134	Zm00001d001791	+	chr2	1314464	1316134	Zm00001eb065810	Zm00001eb065810	+	1670
Zm00001d001792	chr2	1316806	1319600	Zm00001d001792	-	chr2	1317879	1320100	Zm00001eb065820	Zm00001eb065820	-	1721
Zm00001d001796	chr2	1339412	1339980	Zm00001d001796	+	.	-1	-1	.	-1	.	0
Zm00001d001804	chr2	1528410	1532942	Zm00001d001804	-	chr2	1528410	1532942	Zm00001eb065900	Zm00001eb065900	-	4532
Zm00001d001811	chr2	1608490	1611106	Zm00001d001811	+	chr2	1608490	1611106	Zm00001eb065970	Zm00001eb065970	+	2616
Zm00001d001813	chr2	1690946	1692463	Zm00001d001813	+	chr2	1690982	1692463	Zm00001eb066010	Zm00001eb066010	+	1481
Zm00001d001818	chr2	1709147	1711076	Zm00001d001818	-	chr2	1702522	1711076	Zm00001eb066030	Zm00001eb066030	-	1929
Zm00001d001819	chr2	1711833	1715299	Zm00001d001819	-	chr2	1711833	1715299	Zm00001eb066050	Zm00001eb066050	-	3466
Zm00001d001824	chr2	1804420	1805134	Zm00001d001824	+	chr2	1804420	1805134	Zm00001eb066100	Zm00001eb066100	+	714
Zm00001d001833	chr2	1902964	1909152	Zm00001d001833	-	chr2	1902967	1904349	Zm00001eb066220	Zm00001eb066220	-	1382
Zm00001d001838	chr2	1952414	1958187	Zm00001d001838	+	chr2	1952414	1958187	Zm00001eb066270	Zm00001eb066270	+	5773
Zm00001d001841	chr2	1980524	1984548	Zm00001d001841	+	chr2	1981161	1984548	Zm00001eb066290	Zm00001eb066290	+	3387
Zm00001d001857	chr2	2292558	2293419	Zm00001d001857	-	chr2	2292558	2293419	Zm00001eb066480	Zm00001eb066480	-	861
Zm00001d001858	chr2	2308592	2311302	Zm00001d001858	+	chr2	2308586	2311302	Zm00001eb066500	Zm00001eb066500	+	2710
Zm00001d001865	chr2	2356158	2356267	Zm00001d001865	-	chr2	2356158	2356628	Zm00001eb066570	Zm00001eb066570	-	109
Zm00001d001871	chr2	2403105	2404659	Zm00001d001871	+	chr2	2403105	2405308	Zm00001eb066620	Zm00001eb066620	+	1554
Zm00001d001894	chr2	2769839	2771765	Zm00001d001894	+	chr2	2769839	2771765	Zm00001eb066770	Zm00001eb066770	+	1926
Zm00001d001911	chr2	3052915	3053808	Zm00001d001911	-	.	-1	-1	.	-1	.	0
Zm00001d001916	chr2	3080184	3081603	Zm00001d001916	-	chr2	3080184	3081603	Zm00001eb066970	Zm00001eb066970	-	1419
Zm00001d001918	chr2	233154800	233156356	Zm00001d001918	-	.	-1	-1	.	-1	.	0
Zm00001d001926	chr2	3308730	3309043	Zm00001d001926	+	.	-1	-1	.	-1	.	0
Zm00001d001936	chr2	3377400	3379519	Zm00001d001936	+	chr2	3377400	3379519	Zm00001eb067190	Zm00001eb067190	+	2119
